,asset,expiry,optionType,price,qnty,side,strikePrice,symbol,indexPrice
0,BTC,210409,P,2331.46,0.3505,ASK,60000,BTC-210409-60000-P,58963.02371247
1,BTC,210409,P,2349.25,0.3449,ASK,60000,BTC-210409-60000-P,58963.02371247
2,BTC,210409,P,2365.93,0.4783,ASK,60000,BTC-210409-60000-P,58963.02371247
3,BTC,210409,P,2634.83,0.1623,ASK,60000,BTC-210409-60000-P,58963.02371247
4,BTC,210409,P,1926.53,0.4654,BID,60000,BTC-210409-60000-P,58963.02371247
5,BTC,210409,P,1912.46,0.4675,BID,60000,BTC-210409-60000-P,58963.02371247
6,BTC,210409,P,1500,0.001,BID,60000,BTC-210409-60000-P,58963.02371247
7,BTC,210409,P,10,0.2,BID,60000,BTC-210409-60000-P,58963.02371247
8,BTC,210409,P,2,0.1,BID,60000,BTC-210409-60000-P,58963.02371247
9,BTC,210409,P,1,2,BID,60000,BTC-210409-60000-P,58963.02371247
10,BTC,210409,C,7576.43,0.4449,ASK,52000,BTC-210409-52000-C,58963.02371247
11,BTC,210409,C,7645.6,0.4943,ASK,52000,BTC-210409-52000-C,58963.02371247
12,BTC,210409,C,7707.67,0.4064,ASK,52000,BTC-210409-52000-C,58963.02371247
13,BTC,210409,C,5656.08,0.2799,ASK,54000,BTC-210409-54000-C,58963.02371247
14,BTC,210409,C,5713.01,0.386,ASK,54000,BTC-210409-54000-C,58963.02371247
15,BTC,210409,C,5907.94,0.02,ASK,54000,BTC-210409-54000-C,58963.02371247
16,BTC,210409,P,1,5,BID,68000,BTC-210409-68000-P,58963.02371247
17,BTC,210409,C,3883.29,0.313,ASK,56000,BTC-210409-56000-C,58963.02371247
18,BTC,210409,C,3915.11,0.2529,ASK,56000,BTC-210409-56000-C,58963.02371247
19,BTC,210409,C,3947.95,0.2542,ASK,56000,BTC-210409-56000-C,58963.02371247
20,BTC,210409,C,4236.67,0.02,ASK,56000,BTC-210409-56000-C,58963.02371247
21,BTC,210409,C,3259.11,0.2719,BID,56000,BTC-210409-56000-C,58963.02371247
22,BTC,210409,C,3227.78,0.366,BID,56000,BTC-210409-56000-C,58963.02371247
23,BTC,210409,C,3210.97,0.4873,BID,56000,BTC-210409-56000-C,58963.02371247
24,BTC,210409,C,2400,0.0011,BID,56000,BTC-210409-56000-C,58963.02371247
25,BTC,210409,P,1,2,BID,66000,BTC-210409-66000-P,58963.02371247
26,BTC,210409,C,365,0.02,ASK,64000,BTC-210409-64000-C,58963.02371247
27,BTC,210409,C,366.93,0.4332,ASK,64000,BTC-210409-64000-C,58963.02371247
28,BTC,210409,C,385.02,0.2707,ASK,64000,BTC-210409-64000-C,58963.02371247
29,BTC,210409,C,810.93,0.001,ASK,64000,BTC-210409-64000-C,58963.02371247
30,BTC,210409,C,1300,0.1,ASK,64000,BTC-210409-64000-C,58963.02371247
31,BTC,210409,C,260.97,0.3464,BID,64000,BTC-210409-64000-C,58963.02371247
32,BTC,210409,C,241.36,0.3973,BID,64000,BTC-210409-64000-C,58963.02371247
33,BTC,210409,C,222.54,0.3239,BID,64000,BTC-210409-64000-C,58963.02371247
